Size,File,Type
5242880,tmp.zip,application/binary
5242880,tmp.zip,application/fits
5242880,tmp.gz,application/gzip
5242880,tmp.doc,application/msword
5242880,tmp.zip,application/mxf
5242880,tmp.zip,application/octet-stream
5242880,tmp.pdf,application/pdf
5242880,tmp.rtf,application/rtf
5242880,tmp.xps,application/vnd.ms-xpsdocument
5242880,tmp.xps,application/oxps
5242880,tmp.zip,application/unknown
5242880,tmp.zip,application/vnd.apple.keynote
5242880,tmp.zip,application/vnd.apple.pages
5242880,tmp.kmz,application/vnd.google-earth.kmz
5242880,tmp.xls,application/vnd.ms-excel
5242880,tmp.ppt,application/vnd.ms-powerpoint
5242880,tmp.pptm,application/vnd.ms-powerpoint.presentation.macroenabled.12
5242880,tmp.pptm,application/vnd.ms-powerpoint.presentation.macroEnabled.12
5242880,tmp.pptm,application/vnd.ms-powerpoint.slideshow.macroenabled.12
5242880,tmp.pptm,application/vnd.ms-powerpoint.slideshow.macroEnabled.12
5242880,tmp.odp,application/vnd.oasis.opendocument.presentation
5242880,tmp.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
5242880,tmp.pps,application/vnd.openxmlformats-officedocument.presentationml.slideshow
5242880,tmp.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
5242880,tmp.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
5242880,tmp.zip,application/vnd.xara
5242880,tmp.7z,application/x-7z-compressed
5242880,tmp.zip,application/x-adobe-indesign
5242880,tmp.zip,application/x-apple-diskimage
5242880,tmp.bz2,application/x-bzip2
5242880,tmp.zip,application/x-dbf
5242880,tmp.zip,application/x-debian-package
5242880,tmp.zip,application/x-dosexec
5242880,tmp.zip,application/x-executable
5242880,tmp.tar,application/x-gtar
5242880,tmp.zip,application/x-hdf
5242880,tmp.html,application/xhtml+xml
5242880,tmp.zip,application/x-ibooks+zip
5242880,tmp.zip,application/x-iso9660-image
5242880,tmp.zip,application/x-itunes-ipa
5242880,tmp.mkv,application/x-matroska
5242880,tmp.mdb,application/x-msaccess
5242880,tmp.zip,application/x-msdownload
5242880,tmp.zip,application/x-msdownload; format=pe32
5242880,tmp.zip,application/x-ms-installer
5242880,tmp.zip,application/x-netcdf
5242880,tmp.pdf,application/x-pdf
5242880,tmp.rar,application/x-rar-compressed
5242880,tmp.zip,application/x-rpm
5242880,tmp.zip,application/x-sh
5242880,tmp.shp,application/x-shapefile
5242880,tmp.swf,application/x-shockwave-flash
5242880,tmp.zip,application/x-stata-dta
5242880,tmp.tar,application/x-tar
5242880,tmp.zip,application/x-webarchive
5242880,tmp.zip,application/x-zip-compressed
5242880,tmp.zip,application/zip
5242880,tmp.zip,application/zlib
5242880,tmp.mp3,audio/mp3
5242880,audio_tmp.mp4,audio/mp4
5242880,audio_tmp.mpg,audio/mpeg
5242880,tmp.wav,audio/vnd.wave
5242880,tmp.wav,audio/wav
5242880,tmp.aac,audio/x-aac
5242880,tmp.aiff,audio/x-aiff
5242880,tmp.wma,audio/x-ms-wma
5242880,tmp.wav,audio/x-wav
5242880,tmp.bmp,image/bmp
5242880,tmp.gif,image/gif
5242880,tmp.jps,image/jp2
5242880,tmp.jpg,image/jpeg
5242880,tmp.jpeg,image/pjpeg
5242880,tmp.png,image/png
5242880,tmp.tif,image/tiff
5242880,tmp.psd,image/vnd.adobe.photoshop
5242880,tmp.dwg,image/vnd.dwg
5242880,tmp.zip,model/vnd.mts
5242880,tmp.csv,text/csv
5242880,tmp.html,text/html
5242880,tmp.txt,text/plain
5242880,tmp.3gp,video/3gpp
5242880,tmp.avi,video/avi
5242880,tmp.flv,video/flv
5242880,tmp.mp4,video/mp4
5242880,tmp.mpeg,video/mpeg
5242880,tmp.mov,video/quicktime
5242880,tmp.ogg,video/theora
5242880,tmp.webm,video/webm
5242880,tmp.flv,video/x-flv
5242880,tmp.m4v,video/x-m4v
5242880,tmp.mkv,video/x-matroska
5242880,tmp.avi,video/x-msvideo
5242880,tmp.wmv,video/x-ms-wmv
5242880,tmp.zip,x-msdos-program
5242880,tmp.zip,x-msdos-program/
